CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_1 Pumice Fall (P1-PF),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307A2,,,,,,,,1257,,,,,,,WR,61.16,0.62,,15.95,,4.5,,,3.41,1.35,0.13,,3.28,4.27,0.24,,,,,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,1.34,,,,,,,,,0.22,46.4,,,9.4,,,,,,6.4,,,,17.2,2.9,3.4,,,79.1,339,28.6,225,8.64,3.1,,,,,0.22,,,0.28,,,2.9,676,23.1,46.4,5.42,21.8,4.81,1.2,4.4,0.72,4.4,0.9,2.7,0.43,3,0.49,5.6,0.71,,,,,,,,,13.2,,9.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_2 Pumice Fall (P2-PF1),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307B1,,,,,,,,1257,,,,,,,WR,62.78,0.63,,16.74,,4.67,,,3.76,1.46,0.14,,3.34,2.96,0.23,,,,,,,,,,,,,,,,3.88,,,,,,,,,,,,,,,1.44,,,,,,,,,0.26,47.3,,,10.26,,,,,,7.4,,,,17.6,2.8,3.8,,,83.37,346,28.9,217,8.05,2.87,,,,,0.26,,,0.33,,,2.8,695,23.7,47.3,5.7,22.7,5.06,1.25,4.6,0.73,4.8,1,2.9,0.43,3.1,0.5,5.4,0.71,,,,,,,,,13.4,,8.44,2.24,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_2 Pumice Fall (P2-PF2),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307B2,,,,,,,,1257,,,,,,,WR,62.59,0.63,,16.91,,4.75,,,3.77,1.42,0.14,,3.31,2.89,0.23,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,1.43,,,,,,,,,0.28,48.9,,,10.07,,,,,,7.5,,,,18.2,2.9,3.7,,,85.8,363,29.5,225,8.28,2.92,,,,,0.28,,,0.29,,,2.9,715,24.4,48.9,5.92,23.3,5.19,1.31,4.8,0.75,4.8,1.1,3,0.44,3.1,0.5,5.6,0.74,,,,,,,,,12.5,,8.8,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_3 Pumice Fall (P3-PF2),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307E1,,,,,,,,1257,,,,,,,WR,62.27,0.64,,16.45,,4.7,,,3.6,1.42,0.14,,3.4,4.39,0.25,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,1.55,,,,,,,,,0.26,48.1,,,9.9,,,,,,6.8,,,,17.6,3,3.5,,,81.7,348,28.6,220,9,3.2,,,,,0.26,,,0.25,,,3,701,24.3,48.1,5.63,22.5,4.93,1.27,4.6,0.74,4.6,1,2.8,0.45,3.2,0.5,5.5,0.73,,,,,,,,,13.7,,9.55,2.48,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_3 Pumice Fall (P3-PF3),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307E2,,,,,,,,1257,,,,,,,WR,62.15,0.63,,16.44,,4.59,,,3.57,1.41,0.14,,3.4,4.39,0.24,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,1.45,,,,,,,,,0.29,48,,,10.5,,,,,,6.4,,,,17.6,3,3.8,,,82.3,342,29.2,221,8.99,3.2,,,,,0.29,,,0.25,,,3,708,24.2,48,5.65,22.6,5.02,1.28,4.6,0.75,4.7,1,2.9,0.45,3.2,0.51,5.7,0.74,,,,,,,,,13.8,,9.6,2.55,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_4 Co-PDC Ash Fall (P4-AF),-8.410314714,-8.410314714,115.5715893,115.5715893,LAND,348,348,RIN1392F,,,,,,,,1257,,,,,,,WR,61.59,0.63,,16.34,,4.74,,,3.44,1.3,0.14,,3.31,4.16,0.25,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,1.7,,,,,,,,,0.31,50.1,,,9.4,,,,,,6.8,,,,17.8,3.2,4,,,88.7,338,29.1,240,9.36,3.6,,,,,0.31,,,0.34,,,3.2,728,24.7,50.1,5.77,22.8,5.01,1.25,4.6,0.75,4.9,1.1,3,0.45,3.2,0.51,6,0.83,,,,,,,,,16.1,,11.47,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_1 Pumice Fall (P1-PF),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307A1,,,,,,,,1257,,,,,,,GL,67.58,0.49,,16.3,,2.83,,,2.29,0.76,0.16,,4.17,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_2 Pumice Fall (P2-PF2),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307B2,,,,,,,,1257,,,,,,,GL,67.65,0.44,,15.87,,2.52,,,1.99,0.63,0.12,,4.41,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_3 Pumice Fall (P3-PF2),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1307E1,,,,,,,,1257,,,,,,,GL,67.65,0.47,,15.72,,2.52,,,1.91,0.61,0.13,,4.36,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidal et al., 2015",Convergent margin,RINJANI/SAMALAS,Samalas 1257 A.D. deposits Phases_1 Pumice Fall (P1-PF),-8.536690061,-8.536690061,116.2441756,116.2441756,LAND,274,274,RIN1392A,,,,,,,,1257,,,,,,,GL,68.24,0.46,,16.11,,2.7,,,2.22,0.73,0.11,,4.16,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
