GVP;GEOROC
Apagado;APAGADO
Chaiten;MINCHINMAVIDA-CHAITEN,CHAITEN
Corcovado;CORCOVADO
Coropuna;COROPUNA
Cumbal;CUMBAL
Dona Juana;DONA JUANA
Huaynaputina;HUAYNAPUTINA
Irruputuncu;IRRUPUTUNCU
Isluga;ISLUGA
Planchon-Peteroa;PLANCHON-PETEROA
Purace;PURACE
Puyehue-Cordon Caulle;PUYEHUE-CORDON CAULLE VOLCANIC COMPLEX,CORDON CAULLE VOLCANIC COMPLEX,PUYEHUE
Quimsachata;QUIMSACHATA
Soche;SOCHE
Tacora;TACORA
Tupungatito;TUPUNGATITO,TUPUNGATO
Yate;YATE
Infiernillo;INFIERNILLO VOLCANIC FIELD,INFERNILLO VOLCANIC COMPLEX
Melimoyu;MELIMOYU(MELYMOYU)
Puyuhuapi;PUYUHUAPI VOLCANIC CENTER
Tronador;TRONADOR VOLCANIC GROUP
Yanteles;YANTALES (YANTELES)
Nicholson, Cerro;CERRO NICHOLSON
Huambo;HUAMBO VOLCANIC FIELD
Putana;CERRO PUTANA
Antuco;ANTUCO
Azufral;AZUFRAL
Calabozos;CALABOZOS
Calbuco;CALBUCO
Callaqui;CALLAQUI
Cay;CAY
Chacana;CHACANA
Chachimbiro;CHACHIMBIRO
Chaiten;CHAITEN
Chimborazo;CHIMBORAZO
Copahue;CAVIAHUE-COPAHUE VOLCANIC COMPLEX,COPAHUE
Cotopaxi;COTOPAXI
Crater Basalt Volcanic Field;CRATER BASALT VOLCANIC FIELD
Descabezado Grande;DESCABEZADO GRANDE
Galeras;GALERAS
Guallatiri;GUALLATIRI
Hornopiren;HORNOPIREN
Huequi;HUEQUI
Lanin;LANIN
Lascar;LASCAR
Lastarria;LASTARRIA
Lautaro;LAUTARO
Licancabur;LICANCABUR
Licto;LICTO
Llaima;LLAIMA
Lonquimay;LONQUIMAY
Maca;MACA
Maipo;MAIPO
Mentolat;MENTOLAT
Mocho-Choshuenco;MOCHO-CHOSHUENCO
Mojanda;MOJANDA
Osorno;OSORNO
Palomo;PALOMO
Parinacota;PARINACOTA
Peinado;PEINADO
Pululahua;PULULAHUA
Reventador;REVENTADOR
Sabancaya;SABANCAYA
San Jorge;SAN JORGE
San Jose;SAN JOSE
San Pedro-Pellado;SAN PEDRO-PELLADO
San Pedro-San Pablo;SAN PEDRO-SAN PABLO,SAN PEDRO-SAN PABLO VOLCANIC COMPLEX
Sangay;SANGAY
Sara Sara;SARA SARA
Socompa;SOCOMPA
Sumaco;SUMACO
Ticsani;TICSANI
Tinguiririca;TINGUIRIRICA
Tromen;TROMEN
Tungurahua;TUNGURAHUA
Tutupaca;TUTUPACA
Ubinas;UBINAS
Villarrica;VILLARRICA
Atacazo;ATACAZO-NINAHUILCA
Carran-Los Venados;CARRAN-LOS VENADOS VOLCANIC FIELD
Cayambe;CAYAMBE VOLCANIC COMPLEX
Llullaillaco;CERRO LLULLAILLACO
Michinmahuida;MICHINMAHUIDA (MINCHINMAVIDA)
Payun Matru;PAYUN MATRU VOLCANIC FIELD
Sairecabur;CERRO SAIRECABUR
Taapaca;TAAPACA VOLCANIC CENTER
Yucamane;YUCAMANE-CALIENTES
Blanco, Cerro;CERRO BLANCO
Chillan, Nevados de;NEVADOS DE CHILLAN
Longavi, Nevado de;NEVADO DE LONGAVI
Misti, El;EL MISTI
Negrillar, El;EL NEGRILLAR
Ruiz, Nevado del;NEVADO DEL RUIZ
Antofagasta Volcanic Field;ANTOFAGASTA DE LA SIERRA
Machin;CERRO MACHIN
Tuzgle;CERRO TUZGLE
Wright;WHEELWRIGHT
Azul, Cerro-Central Chile and Argentina;CERRO AZUL,CERRO AZUL CHILE
Andahua-Orcopampa;ANDAGUA (ANDAHUA) VOLCANIC FIELD
Guagua Pichincha;PICHINCHA
Illiniza;ILINIZA
Chachani, Nevado;CHACHANI
Casiri, Nevados;CASIRI
Olca-Paruma;OLCA
Azufre, Cerro del;AZUFRE
Purico Complex;CERRO PURICO-CHASCON,PURICO IGNIMBRITE,PURICO-CHASCON,CERRO PURICO
Overo, Cerro;CERRO OVERO MAAR
Cordon del Azufre;CORDON DEL AZUFRE
Ojos del Salado, Nevados;OJOS DE SALADO
Maule, Laguna del;LAGUNA DEL MAULE VOLCANIC FIELD
Caburgua-Huelemolle;CABURGUA(CABURGA),HUELEMOLLE
Antillanca Volcanic Complex;ANTILLANCA VOLCANIC GROUP
Cayutue-La Vigueria;CAYUTUE,LA VIGUERIA
Hudson, Cerro;HUDSON
Pali-Aike Volcanic Field;PALI AIKE VOLCANIC FIELD
Reclus;RECLUS
Aguilera;AGUILERA
Burney, Monte;MOUNT BURNEY
