GVP;GEOROC
Adams;MOUNT ADAMS
Baker;MOUNT BAKER
Belknap;BELKNAP GROUP
Bridge River Cones;BRIDGE RIVER CONES(SALAL GLACIER VOLCANIC FIELD)
Clear Lake;CLEAR LAKE VOLCANIC FIELD
Diamond Craters;DIAMOND PEAK
Garibaldi;MOUNT GARIBALDI VOLCANIC FIELD
Glacier Peak;GLACIER PEAK
Hood;MOUNT HOOD
Indian Heaven;INDIAN HEAVEN
Jefferson;MOUNT JEFFERSON,MOUNT ST. JEFFERSON
Lassen Volcanic Center;LASSEN VOLCANIC CENTER
Medicine Lake;MEDICINE LAKE VOLCANO
Newberry;NEWBERRY,NEWBERRY GROUP
Rainier;MOUNT RAINIER
Sand Mountain Field;SAND MOUNTAIN GROUP
Shasta;MOUNT SHASTA
St. Helens;MOUNT ST. HELENS
Three Sisters;THREE SISTERS,SOUTH SISTER
Crater Lake;MOUNT MAZAMA,PRE-MAZAMA GROUP
Silverthrone;SILVERTHRONE VOLCANIC FIELD
Garibaldi Lake;GARIBALDI LAKE VOLCANIC FIELD
Bridge River Cones;BRIDGE RIVER CONES
Meager;MEAGER MOUNTAIN
Belknap;SOUTH BELKNAP
Bachelor;MOUNT BACHELOR
Newberry;SHEVLIN PARK TUFF
