GVP;GEOROC
Acatenango;ACATENANGO
Agua;AGUA
Apoyeque;APOYEQUE
Arenal;ARENAL
Asuncion;CERRO ASUNCION,C. ASUNCION
Atitlan;ATITLAN,AMATITLAN
Barva;BARVA,BARVA(BARBA)
Berlin;BERLIN
Chiquimula Volcanic Field;CHIQUIMULA VOLCANIC FIELD
Concepcion;CONCEPCION
Fuego;FUEGO
Granada;GRANADA
Ipala;IPALA
Irazu;IRAZU
Izalco;IZALCO
Masaya;MASAYA
Miravalles;MIRAVALLES
Momotombo;MOMOTOMBO
Moyuta;MOYUTA
Nejapa-Miraflores;NEJAPA-MIRAFLORES,NEJAPA,ASOSOSCA MAAR
Orosi;OROSI
Pacaya;PACAYA
Platanar;PLATANAR
San Cristobal-Nicaragua;SAN CRISTOBAL,SAN CRISTOBAL-NICARAGUA
San Diego;SAN DIEGO
San Salvador;SAN SALVADOR,BOQUERON
San Vicente;SAN VICENTE,CHICHONTEPEC (CINOTEPEC)
Tacana;TACANA
Tajumulco;TAJUMULCO
Tecapa;TECAPA
Tecuamburro;TECUAMBURRO
Telica;TELICA
Tenorio;TENORIO
Toliman;TOLIMAN
Turrialba;TURRIALBA
Usulutan;USULUTAN
Cosiguina;COSIGÜINA(COSIGUINA)
Ilopango;ILOPANGO CALDERA
San Miguel;SAN MIGUEL(CHAPARRASTIQUE)
Santa Ana;SANTA ANA (ILAMATEPEC)
Pilas, Las;LAS PILAS,EL HOYO
Tigre, Isla el;ISLA EL TIGRE
Valle, El;EL VALLE
Santa Maria;SANTA MARIA,SANTIAGUITO,VOLCAN DEL VALLE
Negro, Cerro;CERRO NEGRO
Almolonga;CERRO QUEMADO 
Ixtepeque;IXTEPEQUE
Singuil, Cerro;EL SINGUIL (SING‹IL)
Apastepeque Field;APASTEPEQUE
Yojoa, Lago;YOJOA
Zacate Grande, Isla;ZACATE GRANDE
Mombacho;CONE NEAR MOMBACHO,MOMBACHO
Rincon de la Vieja;RINCON,RICON DE LA VIEJA
Poas;POAS (POAZ)
Baru;EL BARU,EL BARU(CHIRIQUI)
