GVP;GEOROC
Abu;ABU VOLCANO GROUP,ABU VOLCANO GROUP - IRAO
Sanbesan;SAMBE
Maruyama;OTARU-MARUYAMA
Yokodake;YATSUGATAKE
Ontakesan;ONTAKE
Hakusan;HAKUSAN
Norikuradake;NORIKURA
Yakedake;YAKEDAKE
Washiba-Kumonotaira;WASHIBA AND KUMONOTAIRA
Midagahara;TATEYAMA
Myokosan;MYOKO
Asamayama;ASAMA
Kusatsu-Shiranesan;KUSATSUSHIRANE
Shiga;SHIGA
Harunasan;HARUNA
Akagisan;AKAGI
Hiuchigatake;HIUCHI
Nikko-Shiranesan;NIKKOSHIRANE
Nantaisan;NANTAISAN BRECCIA
Takaharayama;TAKAHARA
Nasudake;NASU
Numazawa;NUMAZAWA
Bandaisan;BANDAI
Adatarayama;ADATARA
Azumayama;AZUMA
Zaozan [Zaosan];ZAO
Hijiori;HIJIORI PYROCLASTIC FLOW DEPOSIT
Naruko;NARUGO
Kurikomayama;KURIKOMA,DAINICHIDAKE
Chokaisan;CHOKAI
Akita-Komagatake;AKITA-KOMAGATAKE VOLCANIC GROUP
Iwatesan;IWATE
Hachimantai;HACHIMANTAI VOLCANIC GROUP
Akita-Yakeyama;AKITA-YAKEYAMA VOLCANIC GROUP
Megata;MEGATA - ICHINOMEGATA MAAR,MEGATA,MEGATA - SANNOMEGATA MAAR,MEGATA - NINOMEGATA MAAR,TOGA
Towada;TOWADA
Hakkodasan;HAKKODA
Osorezan;OSORE,OTOSHINOSAWA,WAKINOSAWA
Shikotsu;SHIKOTSU
Esan;E-SAN
Fukue;FUKUE-JIMA
Hokkaido-Komagatake;KOMAGA-DAKE
Iwakisan;IWAKI
Kuttara;KUTTARA
Niseko;NISEKO
Oshima-Oshima;OSHIMA-OSHIMA
Yokoatejima;YOKOATE-JIMA
Yoteizan;YOTEI
Yufu-Tsurumi;YUFU-TSURUMI
