GVP;GEOROC
Izu-Tobu;IZU-TOBU
Hakoneyama;HAKONE
Fujisan;FUJI,SHIN-FUJI,KO-FUJI
Izu-Oshima;IZU-OSHIMA
Toshima;TOSHIMA,TOSHIMA HOLE
Niijima;NIIJIMA,NII-ZIMA
Kozushima;KOZUSHIMA
Miyakejima;MIYAKEJIMA,MIYAKE-ZIMA
Mikurajima;MIKURAJIMA
Kurose Hole;KUROSE
Hachijojima;HACHIJOJIMA
Aogashima;AOGASHIMA
Kita-Bayonnaise;BAYONNAISED KNOLL
Myojinsho;MYOJIN KNOLL,MYOJIN REEF,MYOJIN RIFT,MYOJINSHO,MYOJIN DEPRESSION
Sumisujima;SUMISUJIMA,SUMISU RIFT,MINAMI-SUMISU,SUMISU CALDERA,SUMISU KNOLL NO. 1,SUMISU VOLCANIC COMPLEX
Izu-Torishima;TORISHIMA,TORISHIMA FORE-ARC
Sofugan;SOFUGAN
Nishinoshima;NISHINOSHIMA
Kita-Ioto;KITA-IWO-TO
Ioto;IOTO,IWOJIMA,MINAMI-IWOJIMA
