GVP;GEOROC
Alney-Chashakondzha;ALNEJ
Asacha;ASACHA
Avachinsky;AVACHA (AVACHINSKY)
Bakening;BAKENING
Barkhatnaya Sopka;BARKHATNAYA SOPKA
Bezymianny;BEZYMIANNY
Bolshoi Semiachik;BOLSHOY SEMYACHIK
Bolshoi-Kekuknaysky;KEKUKNAYSKIY
Cherny;CHERNAYA MOUNTAIN
Dzenzursky;DZENDZUR(SKY)
Gamchen;GAMCHEN
Gorely;GORELY
Gorny Institute;GORNY INSTITUTE
Ichinsky;ICHINSKY(ICHINSKII)
Kamen;KAMEN
Karymsky;KARYMSKY
Khangar;KHANGAR
Khodutka;KHODUTKA
Kikhpinych;KIKHPINYKH
Kizimen;KIZIMEN
Klyuchevskoy;KLYUCHEVSKOY
Komarov;KOMAROV,DREVNII KOMAROV
Koryaksky;KORYAKSKY(KORIAKSKY)
Koshelev;KOSHELEV
Krainy;KRAINII
Krasheninnikov;KRASHENINNIKOV
Kronotsky;KRONOTSKY
Ksudach;KSUDACH
Maly Semyachik;MALYI SEMYACHIK
Mutnovsky;MUTNOVSKY
Opala;OPALA
Plosky;PLOSKIY
Sedanka Lava Field;SEDANKA VOLCANIC FIELD
Srednii;SREDINNY RIDGE
Sheveluch;SHIVELUCH (SHEVELUCH)
Taunshits;TAUNSHITS(TAUNSHIZ)
Titila;SEDANKA VOLCANIC FIELD - TITILA
Tolbachik;TOLBACHIK
Tolmachev Dol;TOLMACHEV DOL
Uksichan;UKSICHAN
Ushkovsky;USHKOVSKY
Uzon;UZON
Vilyuchik;VILYUCHINSKY
Yavinsky;YAVINSKII
Zheltovsky;ZHELTOVSKY
Zimina;ZIMINA
Kurile Lake;KURILE LAKE CALDERA,PAUZHETKA
Zhupanovsky;ZHUPANOVSKY
