GVP;GEOROC
Ceboruco;CEBORUCO
Cofre de Perote;COFRE DE PEROTE
Iztaccihuatl;IZTACCIHUATL
Popocatepetl;POPOCATEPETL
San Martin;SAN MARTIN,TUXTLA VOLCANIC FIELD - SAN MARTIN PAJAPAN,SAN MARTIN TUXTLA
Sanganguey;SANGANGUEY
Santa Cruz;SANTA CRUZ
Chichinautzin;CHICHINAUTZIN VOLCANIC FIELD - TEPEZINGO,CHICHINAUTZIN VOLCANIC FIELD - YECAHUAZIN,CHICHINAUTZIN VOLCANIC FIELD - OYAMEYO,CHICHINAUTZIN VOLCANIC FIELD - YOLOLICA,CHICHINAUTZIN VOLCANIC FIELD - EL MUNECO,CHICHINAUTZIN VOLCANIC FIELD - GUESPALAPA,CHICHINAUTZIN VOLCANIC FIELD - PELADO,CHICHINAUTZIN VOLCANIC FIELD - SUCHIOOC,CHICHINAUTZIN VOLCANIC FIELD - OCOPIAXCO,CHICHINAUTZIN VOLCANIC FIELD - TEPEYAHUALCO,CHICHINAUTZIN VOLCANIC FIELD - CERRO EL PERICO,CHICHINAUTZIN VOLCANIC FIELD - TLALOC,CHICHINAUTZIN VOLCANIC FIELD - CERRO QUEPIL,CHICHINAUTZIN VOLCANIC FIELD - ZEMPOALA,CHICHINAUTZIN VOLCANIC FIELD - TEZOYUCA,CHICHINAUTZIN VOLCANIC FIELD - XICONTLE,CHICHINAUTZIN VOLCANIC FIELD,CHICHINAUTZIN VOLCANIC FIELD - CERRO LA MAGDALENA,CHICHINAUTZIN VOLCANIC FIELD - GORDO,CHICHINAUTZIN VOLCANIC FIELD - LOS CARDOS,CHICHINAUTZIN VOLCANIC FIELD - CUATE,CHICHINAUTZIN VOLCANIC FIELD - OCUSACAYO,CHICHINAUTZIN VOLCANIC FIELD - CERRO SANTA BARBARA,CHICHINAUTZIN VOLCANIC FIELD - CUATEPEL,CHICHINAUTZIN VOLCANIC FIELD - OCOTEPEC,CHICHINAUTZIN VOLCANIC FIELD - CERRO TRES CUMBRES,CHICHINAUTZIN VOLCANIC FIELD - HERRADURA,CHICHINAUTZIN VOLCANIC FIELD - TETEPETL,CHICHINAUTZIN VOLCANIC FIELD - TEZONTLE,CHICHINAUTZIN VOLCANIC FIELD - TESOYO,CHICHINAUTZIN VOLCANIC FIELD - SUCHIOOC GRANDE,CHICHINAUTZIN VOLCANIC FIELD - CERRO TECAJETE,CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,CHICHINAUTZIN VOLCANIC FIELD - HOLOTEPEC,CHICHINAUTZIN VOLCANIC FIELD - MALACATEPETL,CHICHINAUTZIN VOLCANIC FIELD - EL TEZONTLE,CHICHINAUTZIN VOLCANIC FIELD - PELAGATOS,CHICHINAUTZIN VOLCANIC FIELD - YECAHUAZAC,CHICHINAUTZIN VOLCANIC FIELD - TRES CRUCES,CHICHINAUTZIN VOLCANIC FIELD - CUATZONTLE,CHICHINAUTZIN VOLCANIC FIELD - LA TINAJA,CHICHINAUTZIN VOLCANIC FIELD - CAJETE,CHICHINAUTZIN VOLCANIC FIELD - CHALCHIHUITES,CHICHINAUTZIN VOLCANIC FIELD - CUAUTL,CHICHINAUTZIN VOLCANIC FIELD - CERRO TEZONTLALA,CHICHINAUTZIN VOLCANIC FIELD - TRES CUMBRES,CHICHINAUTZIN VOLCANIC FIELD - MESA LAGUNA,CHICHINAUTZIN VOLCANIC FIELD - TZOTZOCOL,CHICHINAUTZIN VOLCANIC FIELD - XITLE,CHICHINAUTZIN VOLCANIC FIELD - LA CIMA,CHICHINAUTZIN VOLCANIC FIELD - CUAUTZIN,CHICHINAUTZIN VOLCANIC FIELD - CHICHINAUTZIN,CHICHINAUTZIN VOLCANIC FIELD - TUXTEPEC,CHICHINAUTZIN VOLCANIC FIELD - LAS TETILLAS,CHICHINAUTZIN VOLCANIC FIELD - TIOGA,CHICHINAUTZIN VOLCANIC FIELD - CERRO JUDIO
Michoacan-Guanajuato;MICHOACAN-GUANAJUATO VOLCANIC FIELD - MATUGEO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - TZIRATE VOLC,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO EL MET,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL CARACOL,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA CALABAZA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - SAPI,MICHOACAN-GUANAJUATO VOLCANIC FIELD - IRAUCO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CUPAMBAN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL ESTRIBO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL OLVIDO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - TAREJERO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO PARACH,MICHOACAN-GUANAJUATO VOLCANIC FIELD - RANCHO SECO,MICHOACAN-GUANAJUATO VOLCANIC FIELD - TIMBEN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA ACUMARA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO LA PIL,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO CURIAN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO ZIRAHU,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA ARENA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO EL TEC,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO EL AGU,MICHOACAN-GUANAJUATO VOLCANIC FIELD,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL MELON,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA CAJA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - MAZCUTA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - AXASJUATA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LA HUARACHA,MICHOACAN-GUANAJUATO VOLCANIC FIELD - HOYA EL TICU,MICHOACAN-GUANAJUATO VOLCANIC FIELD - LOS AMOLES,MICHOACAN-GUANAJUATO VOLCANIC FIELD - EL METATE,MICHOACAN-GUANAJUATO VOLCANIC FIELD - HOYA LA ALBE,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CERRO LAS VE,MICHOACAN-GUANAJUATO VOLCANIC FIELD - BRINCO DEL D,MICHOACAN-GUANAJUATO VOLCANIC FIELD - PARICUTIN,MICHOACAN-GUANAJUATO VOLCANIC FIELD - SAN MIGUEL,MICHOACAN-GUANAJUATO VOLCANIC FIELD - CARICHUATO
Chichon, El;EL CHICHON
Cumbres,  Las;LAS CUMBRES
Isabel, Isla;ISLA ISABEL
Malinche, La;LA MALINCHE
Toluca, Nevado de;NEVADO DE TOLUCA
Colima;COLIMA VOLCANIC COMPLEX
Mascota Volcanic Field;MASCOTA VOLCANIC COMPLEX
Naolinco Volcanic Field;NAOLINCO DE VICTORIA
Humeros, Los;LOS HUMEROS CALDERA
Zitacuaro-Valle de Bravo;ZITACUARO VOLCANIC FIELD - VALLE DE BRAVO,ZITACUARO VOLCANIC COMPLEX
Acoculco;ACOCULCO CALDERA
Los Azufres;LOS AZUFRES VOLCANIC CENTER
