GVP;GEOROC
Maroa;MAROA
Mayor Island;MAYOR ISLAND
Reporoa;REPOROA
Ruapehu;TONGARIRO VOLCANIC CENTER - RUAPEHU,RUAPEHU
Edgecumbe;MOUNT EDGECUMBE(PUTAUAKI)
Okataina;OKATAINA CALDERA,OKATAINA MUSH,OKATAINA CALDERA - TARAWERA
Taranaki;EGMONT (MOUNT TARANAKI)
Tongariro;TONGARIRO VOLCANIC CENTER - PIHANGA,TONGARIRO VOLCANIC CENTER - RED CRATER,TONGARIRO VOLCANIC CENTER - KAKARAMEA,TONGARIRO VOLCANIC CENTER - WAIMARINO,TONGARIRO VOLCANIC CENTER - OHAKUNE,TONGARIRO VOLCANIC CENTER - PUKEONAKE,TONGARIRO VOLCANIC CENTER - PUKEKAIKIORE,TONGARIRO VOLCANIC CENTER - TAMA LAKE,TONGARIRO VOLCANIC CENTER - NGAURUHOE,TONGARIRO VOLCANIC CENTER
Karang;KARANGAHAPE
Taupo;TAUPO VOLCANIC CENTER,TAUPO VOLCANIC CENTER - RANGATIRA POINT IGNIMBRITE,TAUPO VOLCANIC CENTER - ORUANUI ERUPTION,TAUPO VOLCANIC CENTER - TAUPO IGNIMBRITE,TAUPO VOLCANIC CENTER - POST-ORUANUI ERUPTION
