GVP;GEOROC
Submarine Volcano NNE of Iriomotejima;IRIOMOTE-JIMA,YUBU VOLCANICS
Io-Torishima;IWO-DAKE,ITOTORI-JIMA,IO-TORISHIMA
Suwanosejima;SUWANOSE-JIMA
Nakanoshima;NAKANOJIMA
Kuchinoshima;KUCHINO-SHIMA
Kuchinoerabujima;KUTINOERABU-ZIMA,KUCHINOERABUJIMA
Kikai;KIKAI CALDERA,KIKAIGA-SIMA,KIKAI-TOZUHARA TEPHRA,KIKAI-AKAHOYA ASH
Ata;ATA,ATA,ATA PYROCLASTIC FLOW DEPOSIT,IKEDA PYROCLASTIC FLOW DEPOSIT,KAIMON-DAKE, LAVA,YAMAKAWA LAVA,KAIMON-DAKE DOME LAVA,KIYOMI-DAKE LAVA,NABESHIMA-DAKE LAVA,ATA TEPHRA
Aira;SAKURAJIMA,AIRA,AIRA PYROCLASTIC FLOW DEPOSIT
Yonemaru-Sumiyoshiike;YONEMARU
Kirishimayama;KIRISHIMA,SHINMOE-DAKE
Unzendake;UNZEN
Asosan;ASO,OMINE UNIT,KOMEZUKA,OMINE,AKAI,KISHIMADAKE,OZYO-DAKE
Kujusan;OTAKE VOLCANIC ROCKS
Akusekijima;AKUSEKI-JIMA
Kueishantao;KUEISHANTAO
