GVP;GEOROC
Agung;AGUNG
Sangeang Api;SANGEANG API, API
Baluran;BALURAN
Tara, Batu;BATU TARA
Barren Island;BARREN ISLAND
Batur;BATUR
Iliboleng;BOLENG
Buyan-Bratan;BRATAN
Tengger Caldera;BROMO
Cereme;TJERIMAI (TJAREME), CEREME, CIREMAI
Dempo;DEMPO
Dieng Volcanic Complex;DIENG VOLCANIC COMPLEX, BISMA - DIENG VOLCANIC COMPLEX, BUCU - DIENG VOLCANIC COMPLEX, KENDIL - DIENG VOLCANIC COMPLEX, NAGASARI - DIENG VOLCANIC COMPLEX, PAGERKANDANG - DIENG VOLCANIC COMPLEX, PAKUWAJA - DIENG VOLCANIC COMPLEX, PANGONAN-MERDADA - DIENG VOLCANIC COMPLEX, PRAHU - DIENG VOLCANIC COMPLEX, PRAMBANAN - DIENG VOLCANIC COMPLEX, SEROJA - DIENG VOLCANIC COMPLEX, SIDEDE - DIENG VOLCANIC COMPLEX, SIKUNIR - DIENG VOLCANIC COMPLEX
Ebulobo;EBULOBO
Egon;EGON
Flores;FLORES
Galunggung;GALUNGGUNG
Gede-Pangrango;GEDE VOLCANIC COMPLEX
Guntur;GUNTUR
Ijen;KAWAH I(D)JEN, IJEN VOLCANIC COMPLEX
Inierie;INIERI(E)
Iya;IYA, IJA
Kelimutu;KELI MUTU, KELIMUTU
Kelut;KELUD(KELUT)
Kerinci;KERINCI
Perbakti-Gagak;KIARABERES
Krakatau;KRAKATAU
Lamongan;LAMONGAN
Lawu;LAWU
Lewotobi;LEWOTOBI
Lewotolok;LEWOTOLO (SELAT BOLENG)
Marapi;MARAPI
Merapi;MERAPI
Merbabu;MERBABU
Muria;MURIAH
Papandayan;PAPANDAYAN
Peuet Sague;PEUT SAGUE
Raung;RAUNG
Rinjani;RINDJANI
Paluweh;ROKATENDA (PALUWEH)
Salak;SALAK
Semeru;SEMERU
Seulawah Agam;SEULAWAG AGAM
Sibualbuali;SIBUABUALI
Sinabung;SINABUN(G)
Singkut;SIRAYAK, TAKUR-TAKUR
Sirung;PANTAR
Slamet;SLAMET
Sorikmarapi;SORIKMARAPI
Sumbing-Java;SUMBING - JAVA
Sumbing-Sumatra;SUMBING - SUMATRA
Sundoro;SUNDORO
Tambora;TAMBORA
Tampomas;TAMPOMAS
Tangkuban Parahu;TANGKUBAN PARAHU
Toba;TOBA,SIPISOPISO
Ungaran;UNGARAN
Sano, Wai;WAI SANO
Iliwerung;WERUNG
Bayah Dome;BAYAH DOME
