GVP;GEOROC
Acoculco;ACOCULCO CALDERA
Adams Seamount;ADAMS
Afdera;AFDERA
Agrigan;AGRIGAN
Agua de Pau;AGUA DE PAO
Agua;AGUA
Agung;AGUNG
Akita-Komagatake;AKITA-KOMAGATAKE VOLCANIC GROUP
Akutan;AKUTAN
Alamagan;ALAMAGAN
Alayta;ALAYTA
Ale Bagu;ALE BAGU (DALLAFILLA)
Alid;ALID
Alu-Dalafilla;ALU DALAFFILA
Alutu;ALUTO,ALUTO MARECHA UNIT
Ambae;AOBA (=AMBAE)
Ambitle;AMBITLE ISLAND
Ambre-Bobaomby;MASSIF D'AMBRE VOLCANIC FIELD
Ambrym;AMBRYM,AMBRYM (=AMBRIM)
Amsterdam Island;AMSTERDAM ISLAND
Anatahan;ANATAHAN
Aneityum;ANATOM (ANEITYUM)
Aniakchak;ANIAKCHAK
Antuco;ANTUCO
Apagado;APAGADO
Apoyeque;APOYEQUE
Ardoukoba;ARDOUKOBA
Arenal;ARENAL
Ascension;ASCENSION
Askja;ASKJA
Assab Volcanic Field;ASSAB VOLCANIC FIELD
Asuncion;ASUNCION,ASUNCION-SAPUCAI-VILLARICA IGNEOUS PROVINCE
Ata;ATA
Atakor Volcanic Field;ATAKOR VOLCANIC FIELD
Atitlan;ATITLAN
Atka Volcanic Complex;ATKA,KOROVIN
Augustine;AUGUSTINE,AUGUSTINE ISLAND
Avachinsky;AVACHA (AVACHINSKY)
Ayelu;AYELU
Badi;BADI
Bakening;BAKENING
Barcena;SAN BENEDICTO
Bardarbunga;BARDARBUNGA
Barren Island;BARREN ISLAND
Barrier, The;THE BARRIER
Bazman;BAZMAN
Belknap;BELKNAP
Berlin;MOUNT BERLIN
Bezymianny;BEZYMIANNY
Bogoslof;BOGOSLOF
Bora Ale;BORALE,BORALE ALE
Bora-Bericcio;BORA-BARICHA
Boset-Bericha;BOSETI VOLCANIC COMPLEX
Bouvet;BOUVET
Brava;BRAVA
Brennisteinsfjoll;BRENNISTEINSFJOLL
Bristol Island;BRISTOL,FREEZLAND
Brothers;BROTHERS
Buckle Island;BUCKLE ISLAND
Bufumbira;BUFUMBIRA VOLCANIC FIELD
Bufumbira;BUFUMBIRA VOLCANIC FIELD
Bunyaruguru;BUNYARUGURU
Butajiri-Silti Field;BUTAJIRA
Calatrava Volcanic Field;CALATRAVA VOLCANIC PROVINCE
Calbuco;CALBUCO
Cameroon;MOUNT CAMEROON
Campi Flegrei;CAMPI FLEGREI (PHLEGRAEAN FIELDS)
Candlemas Island;CANDLEMAS,VINDICATION
Central Island;CENTRAL ISLAND
Chaine des Puys;CHAINE DES PUYS
Changbaishan;CHANGBAISHAN (BAEKDUSAN
Chichinautzin;CHICHINAUTZIN VOLCANIC FIELD - XITLE,CHICHINAUTZIN VOLCANIC FIELD,CHICHINAUTZIN VOLCANIC FIELD - TUXTEPEC,CHICHINAUTZIN VOLCANIC FIELD - CERRO LA MAGDALENA
Chikurachki;CHIKURACHKI (CHURACHKI)
Chirpoi;CHIRPOY (CHERNYYE), BRAT SHIRPOEV (BRAT CHIRPOEV)
Chyulu Hills;CHYULU HILLS VOLCANIC FIELD
Clark;CLARK
Clear Lake;CLEAR LAKE VOLCANIC FIELD
Cochons, Ile aux;ILE AUX COCHON (HOG ISLAND)
Colima;COLIMA VOLCANIC COMPLEX
Colli Albani;ALBAN HILLS (COLLI ALBANI)
Corbetti Caldera;CORBETTI VOLCANIC SYSTEM
Corvo;CORVO
Cosiguina;COSIGÜINA(COSIGUINA)
Curtis Island;CURTIS
Dabbahu;DABBAHU (BOINA)
Dabbayra;DABBAYRA
Daikoku;DAIKOKU
Dama Ali;DAMA ALE VOLCANO
Damavand;DAMAVAND
Dariganga Volcanic Field;DARIGANGA VOLCANIC FIELD
Deception Island;DECEPTION
Descabezado Grande;DESCABEZADO GRANDE VOLCANIC FIELD
Dofan;DOFAN
Don Joao de Castro Bank;D. JOAO CASTRO BANK
Dotsero;DOTSERO
Dubbi;DUBBI
East Chamo Basin;GAMO-GIDOLE HIGHLAND
East Ziway;ASELA-ZIWAY REGION
Easter Island;EASTER ISLAND (RAPA NUI) 
Eastern Gemini Seamount;EASTERN GEMINI
Eburru, Ol Doinyo;EBURRU
Ecuador;ECUADOR
Edgecumbe;MOUNT EDGECUMBE(PUTAUAKI)
Eldey;ELDEYARBODI FLOW
Elmenteita Badlands;ELMENTEITA VOLCANIC GROUP (BADLANDS)
Emmons Lake;EMMONS LAKE VOLCANIC CENTER - MOUNT HAGUE,EMMONS LAKE VOLCANIC CENTER - PAVLOF,EMMONS LAKE VOLCANIC CENTER
Emuruangogolak;EMURUANGOGOLAK 
Epi;EPI G,EPI B,EPI C,EPI A,EPI
Erebus;EREBUS LINEAGE,MOUNT EREBUS
Erta Ale;ERTA ALE
Esjufjoll;ESJUFJÖLL
Est, Ile de l';ILE DE L^EST
Etna;ETNA
Eyjafjallajokull;EYJAFJALLAJÖKULL
Fayal;FAIAL
Fentale;FANTALE
Fernandina;FERNANDINA (NARBOROUGH)
Flores-Azores;FLORES,FLORES AZORES
Fogo;FOGO
Fonualei;FONUALEI
Fort Portal;FORT PORTAL FIELD
Fremrinamar;FREMRI NAMUR - KETELDYNGJA (KETILDYNGJA),FREMRI NAMUR
Fuego;FUEGO
Fuerteventura;FUERTEVENTURA
Fukujin;FUKUJIN
Furnas;FURNAS
Gabillema;GABILEMA
Gada Ale;GADA ALE
Galeras;GALERAS
Galunggung;GALUNGGUNG
Gamchen;GAMCHEN
Garibaldi;GARIBALDI VOLCANIC BELT,GARIBALDI LAKE VOLCANIC FIELD
Gaua;GAUA (SANTA MARIA)
Gedamsa;GEDEMSA
Genovesa;GENOVESA (TOWER)
Giggenbach;GIGGENBACH
Glacier Peak;GLACIER PEAK
Gorely;GORELY
Graciosa;GRACIOSA
Gran Canaria;GRAN CANARIA
Granada;GRANADA
Grille, La;LA GRILLE
Grimsnes;GRIMSNES
