GVP;GEOROC
Aragats;ARAGATS NEOVOLCANIC AREA
Sabalan;SAHAND-SARAY-SABALAN CHAIN,SABALAN
Elbrus;ELBRUS NEOVOLCANIC AREA
Kazbek;KAZBEK NEOVOLCANIC AREA
Ghegham Volcanic Ridge;GEGHAMA NEOVOLCANIC AREA
Nemrut Dagi;NEMRUT
Porak;POROK
Ararat;ARARAT
Tenduruk Dagı;TENDUREK
Acigol-Nevsehir;ACIGÖL
Erciyes Dagi;ERCIYES
Kula;KULA,KULA VOLCANIC FIELD
Karapinar Field;KARAPINAR
Hasan Dagi;HASANDAG
Karaca Dag;KARACA(LI)DAG
Taftan;TAFTAN
Samsari Volcanic Center;SAMSARI CALDERA,SAMSARI VOLCANIC CHAIN
Bazman;BAZMAN
