GVP;GEOROC
Taryatu-Chulutu;SHAVARYN-TSARAM
Kunlun Volcanic Fields;ASHIKULE VOLCANOES
Arxan-Chaihe;CHAIHE-AERSHAN (ARXAN) VOLCANIC FIELD
Wudalianchi;WUDALIANCHI-ERKESHAN-KELUO VOLCANIC,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - NUOMIN
Changbaishan;CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD,CHANGBAISHAN (BAEKDUSAN/PAEKTSUAN) VOLCANIC FIELD-,WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - LAOHEI
Keluo Group;WUDALIANCHI-ERKESHAN-KELUO VOLCANIC FIELD - KELUO,KELUO VOLCANIC FIELD - NANSHAN,KELUO VOLCANIC FIELD - DANGZISHAN,KELUO VOLCANIC FIELD - GUSHAN,KELUO VOLCANIC FIELD - DAHEISHAN,KELUO VOLCANIC FIELD - XIAOYISHAN,KELUO VOLCANIC FIELD - KASHAN,KELUO VOLCANIC FIELD - DAYISHAN,KELUO VOLCANIC FIELD - JIANSHAN,KELUO VOLCANIC FIELD - MUHENANSHAN,KELUO VOLCANIC FIELD - SHITOUGOUZI,KELUO VOLCANIC FIELD - PINGDINGSHAN
Tengchong;TENGCHONG VOLCANIC FIELD,TENGCHONG VOLCANIC FIELD - DAYINGSHAN,TENGCHONG VOLCANIC FIELD - HEIKONGSHAN
Vitim Volcanic Field;VITIM PLATEAU
Halla;JEJU ISLAND
Tatun Volcanic Group;TATUN VOLCANIC GROUP
Cendres, Ile des;ILE DES CENDRES
Udokan Plateau;UDOKAN VOLCANIC PLATEAU
Ulreung;ULLEUNG ISLAND
