GVP;GEOROC
Snaefellsjokull;SNAEFELLSJÖKULL,SNAEFELLSNES PENINSULA
Helgrindur;HELGRINDUR
Ljosufjoll;LJOSUFJOELL
Reykjanes;REYKJANES PENINSULA
Eldey;ELDEYARBODI FLOW
Krysuvik;KRYSUVIKURHRAUN,KRISUVIK
Brennisteinsfjoll;BRENNISTEINSFJOLL
Hengill;HENGILL (MAELIFELL-MIDFELL) FISSURE SWARMS
Grimsnes;GRIMSNES
Prestahnukur;PRESTAHNUKUR
Langjokull;LANGJÖKULL
Hofsjokull;HOFSJÖKULL
Vestmannaeyjar;VESTMANNAEYJAR ISLANDS - HEIMAEY,VESTMANNAEYJAR ISLANDS - SURTSEY
Eyjafjallajokull;EYJAFJALLAJÖKULL
Katla;KATLA
Tindfjallajokull;TINDFJALLAJÖKULL
Torfajokull;TORFAJÖKULL
Hekla;HEKLA
Grimsvotn;GRIMSVÖTN 
Thordarhyrna;THORDARHÖFDI
Bardarbunga;BARDARBUNGA
Tungnafellsjokull;TUNGNAFELLSJÖKULL
Kverkfjoll;KVERKFJÖLL AREA,KVERKFJÖLL
Askja;ASKJA
Fremrinamar;FREMRI NAMUR - KETELDYNGJA (KETILDYNGJA),FREMRI NAMUR
Krafla;KRAFLA
Heidarspordar;HEIDASPORDUR RIDGE
Theistareykir;THEISTAREYKIR VOLCANIC FIELD
Oraefajokull;ORAEFAJOKULL,ÖRAEFAJÖKULL
Esjufjoll;ESJUFJÖLL
Snaefell;SNAEFELL
Kolbeinsey Ridge;KOLBEINSEY
