GVP;GEOROC
Ayelu;AYELU
Hertali;HERTALI
Nabro;NABRO
Tullu Moye;TULLU MOYE
Manda Hararo;MANDA HARARO RIFT SEGMENT
Ol Kokwe;OL KOKWE ISLAND
Barrier, The;THE BARRIER
Sodore;DERA-SODORE UNIT
Afdera;AFDERA
Alayta;ALAYTA
Assab Volcanic Field;ASSAB VOLCANIC FIELD
Bunyaruguru;BUNYARUGURU
Central Island;CENTRAL ISLAND
Dofan;DOFAN
Dubbi;DUBBI
Emuruangogolak;EMURUANGOGOLAK
Erta Ale;ERTA ALE
Gada Ale;GADA ALE
Hayli Gubbi;HAYLI GUBBI
Homa Mountain;HOMA MOUNTAIN
Karisimbi;KARISIMBI
Katunga;KATUNGA
Katwe-Kikorongo;KATWE-KIKORONGO
Kone;KONE
Korath Range;KORATH RANGE
Korosi;KOROSI
Meru;MERU
Muhavura;MUHAVURA
Namarunu;NAMARUNU
Ngozi;NGOZI
Nyamuragira;NYAMURAGIRA
Nyiragongo;NYIRAGONGO
Paka;PAKA
Rungwe;RUNGWE
Silali;SILALI
Tshibinda;TSHIBINDA
Ale Bagu;ALE BAGU (DALLAFILLA)
Bufumbira;BUFUMBIRA VOLCANIC FIELD
Chyulu Hills;CHYULU HILLS VOLCANIC FIELD
Dabbahu;DABBAHU (BOINA)
Fort Portal;FORT PORTAL FIELD
Menengai;MENENGAI CALDERA
North Island;NORTH ISLAND - LAKE TURKANA
Olkaria;GREATER OLKARIA(NAIVASHA)
South Island;SOUTH ISLAND - LAKE TURKANA
