GVP;GEOROC
Fukutoku-Oka-no-Ba;FUKUTOKU
Minami-Hiyoshi;MINAMI-HIYOSHI,KO-HIYOSHI,SOUTH HIYOSHI,CENTRAL HIYOSHI
Nikko;NIKKO
Fukujin;FUKUJIN
Kasuga 1;KASUGA 1 
Kasuga 2;KASUGA 2
NW Eifuku;EIFUKU
Daikoku;DAIKOKU,SOUTH DAIKOKU
Farallon de Pajaros;FARALLON DE PAJAROS,DREDGE D19,URACAS
Ahyi;AHYI
Supply Reef;SUPPLY REEF
Maug Islands;MAUG
Asuncion;ASUNCION
Agrigan;AGRIGAN
Pagan;PAGAN NORTH,PAGAN,NORTHWEST PAGAN,PAGAN SOUTH,PAGAN CENTRAL VOLCANIC REGION
Alamagan;ALAMAGAN
Guguan;GUGUAN
Zealandia Bank;ZEALANDIA BANK,NORTHWEST ZEALANDIA,WEST ZEALANDIA
Sarigan;SARIGAN,BASAL SEQUENCE
Anatahan;ANATAHAN
East Diamante;DIAMANTE
Ruby;RUBY
Esmeralda Bank;ESMERALDA BANK
NW Rota-1;NW ROTA-1
Forecast Seamount;FORECAST
Seamount X;SEAMOUNT X
